name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
Player 873,1413,27777,0.9479234208,16,188,17,111,78610,3104,3991,2.3408748115,1326,3905,317914,4402177,281.5413015464,396524,29303
Player 874,64,1008,0.6746987952,9,20,7,0,4742,129,145,2.15,60,226,23252,156465,308.2418604651,27994,1494
Player 875,183,1416,0.7950589556,10,53,5,110,1042,701,267,28.04,25,93,5122,887735,28.9549215407,6164,1781
Player 876,43,821,0.5966569767,7,17,10,2,3255,94,133,2,47,192,13211,117380,259.9531914894,16466,1376
Player 877,747,8839,0.8121841404,13,86,10,110,37237,1336,1129,2.9362637363,455,1828,195574,1325531,264.350748503,232811,10883
Player 878,402,8388,0.8686826843,12,147,10,111,15559,1489,1493,8.0486486486,185,1405,86338,2675815,86.8682337139,101897,9656
Player 879,110,725,0.7360406091,7,16,10,110,2143,176,171,3.6666666667,48,120,7667,107444,91.1522727273,9810,985
Player 880,544,17023,1.0464101303,22,146,14,42,58973,1098,2201,2.8818897638,381,4322,255834,2614539,244.1601092896,314807,16268
Player 881,1,67,1.2641509434,6,7,1,0,158,16,8,16,1,5,615,33125,34.35,773,53
Player 882,0,43,0.4215686275,0,7,1,0,0,46,8,46,0,0,0,30725,0,0,102
Player 883,678,29340,1.129808618,24,187,12,33,86835,1625,5115,1.9987699877,813,5310,267174,4364182,240.6395076923,354009,25969
Player 884,1,52,1.04,7,3,2,110,290,6,8,3,2,18,1259,9539,177.6,1549,50
Player 885,588,16477,0.987237867,15,132,23,59,36890,1326,2482,1.8467966574,718,2827,106112,2212447,304.2981900452,143002,16690
Player 886,2,7,0.4375,3,1,1,110,27,3,2,3,1,3,159,950,174.2,186,16
Player 887,40,963,0.7070484581,9,21,5,10,3791,82,109,2,41,327,21163,167645,324.856097561,24954,1362
Player 888,994,31178,1.1438949222,26,202,29,111,75860,2268,3679,2.1620591039,1049,5192,242534,5010044,212.6367724868,318394,27256
Player 889,12,217,0.8930041152,8,7,3,0,735,31,26,2.5833333333,12,41,4294,33530,263.4774193548,5029,243
Player 890,0,6,0.6,2,1,1,0,24,1,0,1,1,1,193,650,265.8,217,10
Player 891,227,6346,0.9863226609,12,49,7,15,10598,440,900,2.2564102564,195,666,67675,767935,262.74,78273,6434
Player 892,0,137,1.1048387097,5,11,1,0,161,47,20,47,1,12,592,59640,11.8595744681,753,124
Player 893,1651,20838,0.7246235699,13,156,9,111,55669,2958,4007,2.6552962298,1114,3874,239762,3026065,236.4817444219,295431,28757
Player 894,127,196,0.7286245353,8,19,3,15,120,135,35,33.75,4,4,491,150100,6.8977777778,611,269
Player 895,322,10366,0.9458029197,17,104,10,3,23103,662,2628,2.1493506494,308,2187,68055,1605342,282.4033232628,91158,10960
Player 896,27,663,0.7407821229,7,14,5,0,1961,48,132,2.5263157895,19,139,7252,86725,265.6,9213,895
Player 897,35,967,1.1636582431,16,17,4,110,3753,60,122,3.1578947368,19,185,16300,121085,318.28,20053,831
Player 898,1168,42762,1.2207250928,22,235,11,41,135781,2578,6440,2.6659772492,967,7550,497723,6417817,241.3226532196,633504,35030
Player 899,125,477,1.1016166282,2,28,1,8,18,145,87,24.1666666667,6,0,96,278310,1.6262068966,114,433
Player 900,174,3982,0.8827311018,21,51,23,14,10707,384,822,2.3272727273,165,1088,68926,846827,162.0640625,79633,4511
Player 901,279,6286,0.9602810877,11,51,9,8,24956,559,1353,2.2270916335,251,1081,83019,833818,293.9109123435,107975,6546
Player 902,0,343,0.9475138122,0,31,2,110,0,174,47,174,0,6,0,330475,0,0,362
Player 903,823,35623,0.9120538686,19,213,13,59,60700,2071,5542,1.8759057971,1104,3877,255778,5477579,263.5037180106,316478,39058
Player 904,77,1260,0.6752411576,8,24,5,2,4786,111,257,3.2647058824,34,377,25772,208142,260.227027027,30558,1866
Player 905,32,576,0.9014084507,7,15,4,30,2228,70,96,3.6842105263,19,175,8514,100982,199.3714285714,10742,639
Player 906,384,11110,1.0116554362,13,94,8,34,44388,718,2210,2.6204379562,274,1702,155205,1446232,257.8754874652,199593,10982
Player 907,294,20859,0.9268606976,13,159,24,111,51034,902,3356,1.6672828096,541,3962,174936,3164158,267.5467849224,225970,22505
Player 908,122,1384,0.580293501,1,119,2,110,5,1070,223,1070,0,237,38,1903966,0.1390654206,43,2385
Player 909,457,21771,1.0694076039,23,174,16,111,60473,1312,4068,2.3597122302,556,5618,181943,3815413,191.8774390244,242416,20358
Player 910,189,6844,1.2331531532,13,65,13,13,27643,457,1138,1.7713178295,258,1325,111967,1071813,296.7452954048,139610,5550
Player 911,118,1971,0.8298947368,14,29,6,1,7843,211,267,2.2934782609,92,440,51400,294361,297,59243,2375
Player 912,254,579,0.9846938776,5,42,1,70,72,308,120,308,1,2,342,576281,0.7538961039,414,588
Player 913,0,291,0.6152219873,0,26,1,111,0,222,47,222,0,144,0,250447,0,0,473
Player 914,78,801,0.7001748252,6,18,5,0,3773,133,149,2.7708333333,48,281,22442,130322,262.8045112782,26215,1144
Player 915,1124,22373,0.9079214349,14,163,9,110,59368,2417,3411,2.4513184584,986,2948,278495,3333187,222.5558129913,337863,24642
Player 916,164,5320,1.0843864656,19,50,7,21,19140,373,990,2.4220779221,154,774,83778,791987,272.5302949062,102918,4906
Player 917,337,6725,0.8141646489,11,74,25,33,20683,794,1398,2.6466666667,300,1455,104724,1168724,233.0886649874,125407,8260
Player 918,632,23494,0.9498665804,13,222,22,97,70343,2366,3279,3.409221902,694,5131,289675,5847104,178.2360101437,360018,24734
Player 919,585,15289,1.0466899432,13,199,11,113,44407,1814,2386,3.9094827586,464,3451,191529,4859018,108.4792723264,235936,14607
