name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
Player 920,334,7422,0.8032467532,14,92,7,111,19487,1146,1748,3.8979591837,294,1117,110959,1407178,159.8162303665,130446,9240
Player 921,115,3496,0.9285524568,11,42,9,25,6097,267,589,2.3217391304,115,409,30719,570335,283.6269662921,36816,3765
Player 922,151,963,1.0244680851,5,59,4,110,376,381,145,63.5,6,17,1478,1004061,3.7842519685,1854,940
Player 923,307,10001,0.9784756873,22,87,9,10,44371,579,1996,2.3729508197,244,2203,163901,1339360,312.4518134715,208272,10221
Player 924,226,6069,0.9954075775,15,53,8,111,26883,455,976,2.297979798,198,1480,111285,897820,319.6325274725,138168,6097
Player 925,2,60,0.8571428571,6,3,1,32,274,4,20,2,2,21,1112,10410,247.35,1386,70
Player 926,468,10557,1.0612183353,16,226,10,110,14048,1888,2107,16.8571428571,112,928,72546,6020903,34.8235169492,86594,9948
Player 927,5,41,0.4823529412,0,9,1,8,0,43,7,43,0,0,4,42144,0.4744186047,4,85
Player 928,256,4046,0.9201728451,15,45,10,110,16204,469,679,2.7426900585,171,749,74699,645805,240.2712153518,90903,4397
Player 929,3,56,0.9655172414,7,4,1,6,221,11,6,11,1,11,672,14792,115.0363636364,893,58
Player 930,260,10324,0.8545650195,14,127,18,110,35597,906,1413,2.6884272997,337,2911,131140,2089837,176.6503311258,166737,12081
Player 931,396,8376,0.9794200187,14,141,6,111,21631,1035,1361,5.75,180,1524,87000,2463950,115.1617391304,108631,8552
Player 932,1080,22216,0.8723788581,15,232,16,111,61932,3510,4305,4.0531177829,866,3820,197269,6270847,150.1382905983,259201,25466
Player 933,561,8959,0.8072625698,11,84,10,49,39977,1103,1874,2.1669941061,509,1996,209150,1295760,251.6099728015,249127,11098
Player 934,262,5049,0.9215185253,13,69,9,111,8156,946,902,5.0319148936,188,687,44073,1114779,125.7260042283,52229,5479
Player 935,32,594,1.1020408163,6,13,4,1,1920,61,142,2.3461538462,26,109,11289,82815,222.5114754098,13209,539
Player 936,11,187,0.563253012,7,11,3,5,433,75,30,12.5,6,32,2544,65110,75.896,2977,332
Player 937,248,4331,1.4135117493,11,182,5,111,3812,1125,850,43.2692307692,26,420,14897,4132907,13.2762666667,18709,3064
Player 938,106,2438,0.6525695931,8,37,7,111,4432,316,223,3.2244897959,98,576,36412,448452,231.0512658228,40844,3736
Player 939,8,48,0.5106382979,5,2,1,0,196,12,9,4,3,19,2552,6765,259.6,2748,94
Player 940,247,4807,0.9097274792,12,46,12,7,12885,504,1032,2.2008733624,229,761,40365,695135,194.6154761905,53250,5284
Player 941,54,2270,0.8707326429,19,32,13,7,9333,126,409,1.8,70,864,39494,351548,247.1380952381,48827,2607
Player 942,246,5952,0.9888685828,15,53,18,14,23816,546,1061,2.0147601476,271,1272,83807,904189,271.0054945055,107623,6019
Player 943,507,9492,0.7620423892,9,90,8,39,16646,1003,1721,2.1663066955,463,1040,96260,1383218,277.3884346959,112906,12456
Player 944,48,411,0.3866415804,5,11,4,110,1029,93,65,2.3846153846,39,86,11138,60235,301.2451612903,12167,1063
Player 945,689,22423,1.0646187447,13,207,10,110,62079,2040,3733,4.0476190476,504,5052,272867,5190281,145.7767647059,334946,21062
Player 946,5,247,1.1026785714,8,9,2,0,940,9,48,2.25,4,111,3367,47225,230.4,4307,224
Player 947,123,3314,1.0263239393,12,38,8,14,8374,285,713,1.8387096774,155,690,30813,478459,278.5957894737,39187,3229
Player 948,809,16454,0.8736327918,14,140,11,110,29661,1598,2433,3.5043859649,456,1517,173734,2426818,233.7503128911,203395,18834
Player 949,139,1737,0.7895454545,11,25,8,6,5658,267,422,2.3839285714,112,318,23191,223249,157.7056179775,28849,2200
Player 950,265,10597,1.0896658098,15,109,7,83,20312,602,1892,2.9365853659,205,1916,56266,1688180,241.8827242525,76578,9725
Player 951,1152,39064,0.8935449929,18,262,11,110,145281,2620,7775,2.7813163482,942,10008,631184,7588933,214.0300763359,776465,43718
Player 952,103,3326,1.1094062708,16,72,17,111,7289,649,551,6.2403846154,104,642,21822,1141755,57.6526964561,29111,2998
Player 953,91,3525,1.3337116913,21,37,6,111,13023,217,603,2.1067961165,103,696,42832,445665,285.1465437788,55855,2643
Player 954,29,741,0.8325842697,18,18,7,0,3687,78,127,2.8888888889,27,173,18657,128124,272.5153846154,22344,890
Player 955,1846,50302,0.8424807811,14,318,12,111,179357,5528,6297,3.3141486811,1668,8242,697394,9978904,185.0479015919,876751,59707
Player 956,54,1371,0.8268998794,10,46,9,111,1053,562,238,14.05,40,546,9145,670898,36.0960854093,10198,1658
Player 957,627,9807,0.9264997638,10,82,9,110,12773,1348,1486,2.3985765125,562,586,73916,1270970,293.7663204748,86689,10585
Player 958,35,1772,1.2400279916,12,43,3,110,4317,278,353,12.6363636364,22,241,16414,588766,48.3755395683,20731,1429
Player 959,485,9229,1.2821617116,14,197,6,111,12550,1590,1705,14.7222222222,108,920,47577,4788100,51.38,60127,7198
Player 960,233,2379,1.1638943249,9,84,6,110,5735,450,504,10.7142857143,42,355,25596,1296535,53.4266666667,31331,2044
Player 961,1205,30111,0.9791558273,19,240,21,111,54286,4022,5338,3.6663628077,1097,4007,384920,6631383,174.6383391348,439206,30752
Player 962,442,6224,0.6093000489,9,158,8,111,13035,2134,1141,10.6169154229,201,1242,134203,3126221,66.704873477,147238,10215
Player 963,18,296,1.0136986301,10,14,3,0,1237,66,56,7.3333333333,9,66,7057,91950,122.2636363636,8294,292
Player 964,73,2476,1.1473586654,13,50,11,111,8653,414,463,6.2727272727,66,745,36117,805326,104.2942028986,44770,2158
Player 965,72,3052,0.7874097007,10,132,5,111,4887,1078,505,21.56,50,575,27516,2208727,35.4022263451,32403,3876
Player 966,141,3790,1.0201884253,13,37,8,33,16559,284,696,2.253968254,126,779,91504,462185,262.2950704225,108063,3715
Player 967,0,28,0.56,2,8,1,0,23,18,4,18,1,0,274,40650,18.4,297,50
Player 968,95,3230,0.9113995485,10,74,7,111,7467,507,702,5.5714285714,91,1184,40347,1169188,104.5443786982,47814,3544
Player 969,337,6860,0.9940588321,13,52,6,5,16235,748,1081,2.1556195965,347,1090,97379,876925,304.606684492,113614,6901
Player 970,37,1018,1.0149551346,11,22,6,24,3481,92,162,2.7058823529,34,212,14816,178755,203.2108695652,18297,1003
Player 971,68,2347,0.9403044872,9,28,9,12,5195,153,442,1.843373494,83,230,15101,277540,309.9137254902,20296,2496
Player 972,23,406,0.8218623482,12,10,6,1,1946,65,132,2.3214285714,28,119,7159,57364,187.1261538462,9105,494
Player 973,408,7530,0.7998725303,12,77,8,28,33533,694,1237,2.6795366795,259,1792,157188,1208952,296.2002881844,190721,9414
Player 974,1173,45764,1.0786273216,20,289,14,111,128437,3272,7146,2.6558441558,1232,7133,409748,8740718,214.8194376528,538185,42428
Player 975,1,35,0.6862745098,3,5,1,110,17,10,6,10,1,11,63,17126,39,80,51
